Genome,trimmed_erpe_2018_pw_0hr_WHONDRS-PP48-000085_95ID.sorted,trimmed_erpe_2018_pw_3hr_WHONDRS-PP48-000086_95ID.sorted,trimmed_erpe_2018_pw_6hr_WHONDRS-PP48-000087_95ID.sorted,trimmed_erpe_2018_pw_9hr_WHONDRS-PP48-000088_95ID.sorted,trimmed_erpe_2018_pw_12hr_WHONDRS-PP48-000089_95ID.sorted,trimmed_erpe_2018_pw_15hr_WHONDRS-PP48-000090_95ID.sorted,trimmed_erpe_2018_pw_18hr_WHONDRS-PP48-000091_95ID.sorted,trimmed_erpe_2018_pw_21hr_WHONDRS-PP48-000092_95ID.sorted,trimmed_erpe_2018_pw_24hr_WHONDRS-PP48-000093_95ID.sorted,trimmed_erpe_2018_pw_27hr_WHONDRS-PP48-000094_95ID.sorted,trimmed_erpe_2018_pw_30hr_WHONDRS-PP48-000095_95ID.sorted,trimmed_erpe_2018_pw_33hr_WHONDRS-PP48-000096_95ID.sorted,trimmed_erpe_2018_pw_36hr_WHONDRS-PP48-000097_95ID.sorted,trimmed_erpe_2018_pw_39hr_WHONDRS-PP48-000098_95ID.sorted,trimmed_erpe_2018_pw_42hr_WHONDRS-PP48-000099_95ID.sorted,trimmed_erpe_2018_pw_45hr_WHONDRS-PP48-000100_95ID.sorted,trimmed_erpe_2018_pw_48hr_WHONDRS-PP48-000101_95ID.sorted,trimmed_erpe_2018_sw_0hr_WHONDRS-SW48-000085_95ID.sorted,trimmed_erpe_2018_sw_3hr_WHONDRS-SW48-000086_95ID.sorted,trimmed_erpe_2018_sw_6hr_WHONDRS-SW48-000087_95ID.sorted,trimmed_erpe_2018_sw_9hr_WHONDRS-SW48-000088_95ID.sorted,trimmed_erpe_2018_sw_12hr_WHONDRS-SW48-000089_95ID.sorted,trimmed_erpe_2018_sw_15hr_WHONDRS-SW48-000090_95ID.sorted,trimmed_erpe_2018_sw_18hr_WHONDRS-SW48-000091_95ID.sorted,trimmed_erpe_2018_sw_21hr_WHONDRS-SW48-000092_95ID.sorted,trimmed_erpe_2018_sw_24hr_WHONDRS-SW48-000093_95ID.sorted,trimmed_erpe_2018_sw_27hr_WHONDRS-SW48-000094_95ID.sorted,trimmed_erpe_2018_sw_30hr_WHONDRS-SW48-000095_95ID.sorted,trimmed_erpe_2018_sw_33hr_WHONDRS-SW48-000096_95ID.sorted,trimmed_erpe_2018_sw_39hr_WHONDRS-SW48-000098_95ID.sorted,trimmed_erpe_2018_sw_42hr_WHONDRS-SW48-000099_95ID.sorted,trimmed_erpe_2018_sw_45hr_WHONDRS-SW48-000100_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_15_length_66552_cov_2.660565__full-cat_1,7450,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_25_length_55409_cov_3.546815__full-cat_1,8155,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_27_length_53335_cov_3.170200__0_partial-cat_1,3226,1681,3741,4725,4002,4005,7247,4779,9427,11406,18272,9203,5920,5062,3473,4748,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_22_length_59248_cov_2.165897__full-cat_1,5536,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_26_length_54575_cov_4.257787__full-cat_1,9648,3451,0,0,0,0,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_32_length_47683_cov_2.029397__full_1-cat_1,2892,0,0,0,0,0,874,892,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_49_length_40081_cov_8.612855__full-cat_1,14481,2485,0,0,0,1147,2173,1072,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_106_length_28797_cov_2.601012__full-cat_1,2231,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_226_length_19831_cov_2.172503__full-cat_1,1829,443,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_559_length_14090_cov_1.674712__full-cat_2,824,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_683_length_12859_cov_2.796890__full-cat_2,1620,906,1768,2262,1862,2011,3674,2511,5166,6348,9536,4863,3124,2585,1964,2716,2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_778_length_12144_cov_1.605143__full-cat_1,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_881_length_11596_cov_1.556282__full-cat_1,812,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1021_length_10865_cov_1.067797__full-cat_1,545,341,0,0,226,241,352,246,297,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1062_length_10726_cov_2.435701__full-cat_1,1120,332,315,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1065_length_10706_cov_3.972304__full-cat_1,1083,248,0,238,0,0,224,0,335,0,0,0,0,0,0,0,0,0,0,243,0,311,0,230,333,363,294,240,0,0,241,0
