sample ID-PNNL	sw_pw	timepoint	Diel Cycle	NOSC_avg_abs	Hydrology	Temp	Conductivity	DOC.TN	C_avg_fticr	N_avg_fticr	H.C_ratio_avg	N.C_ratio_avg	AI_Mod_avg	DBE_avg	lamO2_avg	SRP	NH4	NO3	DOC	Cl	SO4	B	Ca	Fe	K	Mg	Mn	Na	TN
SW48_000085	sw	0	day	0.248623758	0.185	14.907	1106	5.323383085	18.84339298	0.44163866	1.286329601	0.028317729	0.231739889	8.208353641	0.053201577	73	0.04	3.25	10.7	103	120	0.112	107.7	0.051	19.78	11.47	0.01	74.5	2.01
SW48_000086	sw	3	day	0.262127461	0.182	15.947	1171	5.917431193	18.85921086	0.46213118	1.299445684	0.029566659	0.22476005	8.119741102	0.053335626	63	0.05	3.28	12.9	119	134	0.148	108.1	0.036	24.84	11.7	0.011	92.4	2.18
SW48_000087	sw	6	night	0.267697566	0.168	15.027	1180	5.114155251	18.900373	0.475043038	1.300133858	0.029852856	0.224267667	8.116405063	0.053397209	63	0.05	3.67	11.2	120	135	0.15	106.6	0.033	24.74	11.67	0.00000001	92.1	2.19
SW48_000088	sw	9	night	0.251391804	0.186	13.913	1163	7.267080745	18.57770849	0.483362985	1.295153923	0.031253006	0.228201614	8.056086893	0.054076034	63	0.07	4.07	11.7	118	139	0.145	104.9	0.039	24.08	11.58	0.00000001	88.6	1.61
SW48_000089	sw	12	night	0.23878182	0.174	13.073	1175	4.184397163	18.55905466	0.49703538	1.295038444	0.032488708	0.22573622	8.056731394	0.054243343	64	0.09	4.83	11.8	119	134	0.143	103.6	0.041	24.09	11.54	0.015	89	2.82
SW48_000090	sw	15	night	0.233720042	0.138	12.313	1191	4.808510638	18.47632417	0.516284825	1.294147436	0.033672829	0.22639138	8.046251095	0.055035611	64	0.08	5.34	11.3	125	135	0.148	109.3	0.043	24.95	12.23	0.014	93.7	2.35
SW48_000091	sw	18	day	0.237067062	0.108	11.903	1177	3.919413919	18.79031448	0.513063046	1.287857668	0.032361278	0.228638105	8.202836343	0.054157093	63	0.08	4.91	10.7	122	135	0.144	105.2	0.039	25.34	11.74	0.00000001	93.6	2.73
SW48_000092	sw	21	day	0.24344077	0.146	12.133	1146	5.518394649	18.50066312	0.470908568	1.287544783	0.03055688	0.232027249	8.098871563	0.05427187	63	0.04	4.62	16.5	121	136	0.138	103.6	0.036	24.39	11.59	0.00000001	89.3	2.99
SW48_000093	sw	24	day	0.244246628	0.185	14.053	1143	5.041322314	18.89834068	0.479682721	1.287412252	0.030475873	0.230669282	8.25997625	0.053340524	68	0.04	3.85	12.2	114	125	0.122	106.1	0.045	21.66	11.59	0.00000001	81.6	2.42
SW48_000094	sw	27	day	0.284403003	0.182	15.797	1202	5.681818182	18.67163133	0.48043845	1.318343407	0.031266536	0.216958861	7.880608456	0.053515439	46	0.04	3.76	12.5	125	136	0.162	103.4	0.032	25.66	11.42	0.01	95.3	2.2
SW48_000095	sw	30	night	0.267085632	0.168	15.583	1206	4.734375	18.82078008	0.456962947	1.301207213	0.029069218	0.223869966	8.077560231	0.053395905	61	0.05	4.11	12.12	127	135	0.168	105.5	0.033	26.39	11.82	0.00000001	97.7	2.56
SW48_000096	sw	33	night	0.252919182	0.186	15.243	1197	20.97560976	18.695158	0.492954223	1.298773572	0.031593501	0.223913939	8.083879068	0.054011377	52	0.07	3.9	60.2	127	139	0.166	105.4	0.033	25.98	11.84	0.00000001	95.9	2.87
SW48_000098	sw	39	night	0.254485277	0.138	15.233	1207	4.335443038	18.64254156	0.525048719	1.303382064	0.033480227	0.222428179	8.029319225	0.054074763	66	0.07	5.93	13.7	127	136	0.162	108.8	0.032	26.99	12.19	0.00000001	99.9	3.16
SW48_000099	sw	42	day	0.249283529	0.108	15.17	1138	7.405063291	18.56099469	0.503863154	1.295834442	0.032693931	0.226311659	8.049170433	0.054503583	63	0.06	5.24	11.7	131	139	0.159	108.4	0.03	26.86	12.12	0.00000001	99.2	1.58
SW48_000100	sw	45	day	0.243331117	0.146	15.77	1192	4.482758621	18.63678664	0.48651696	1.292731189	0.031186719	0.226649901	8.106096015	0.054260194	70	0.2	5.4	11.7	127	169	0.156	112.7	0.033	27.37	12.56	0.00000001	101.2	2.61
PP48_000085-4	pw	0	day	0.233224007	0.185	14.907	1106	103.7142857	18.94725949	0.456150192	1.26653911	0.028413711	0.24236807	8.445942821	0.053159234	424	0.65	0.05	72.6	121	134	0.174	106.9	0.06	26.71	12.28	0.508	100.8	0.7
PP48_000086-4	pw	3	day	0.230888814	0.182	15.947	1171	11.01123596	19.04499531	0.462143932	1.261403188	0.029126049	0.246372358	8.538107602	0.053096738	407	0.56	0.04	9.8	121	133	0.174	105.2	0.056	27.05	12.21	0.482	99.3	0.89
PP48_000087-4	pw	6	night	0.219070317	0.168	15.027	1180	11.58536585	19.04508141	0.482329306	1.255588703	0.029859857	0.248581025	8.582502055	0.053658709	400	0.56	0.05	9.5	118	133	0.175	102.7	0.057	26.87	11.91	0.464	96.5	0.82
PP48_000088-4	pw	9	night	0.221543539	0.186	13.913	1163	91.69014085	19.26507975	0.484909151	1.255208541	0.029665539	0.247443323	8.668566988	0.053106702	411	0.57	0.06	65.1	119	133	0.172	100.1	0.079	26.37	11.7	0.451	93.9	0.71
PP48_000089-4	pw	12	night	0.224679472	0.174	13.073	1175	11.75	19.081584	0.448378349	1.257065317	0.028291677	0.247101336	8.56579508	0.053175782	242	0.36	0.03	9.4	117	131	0.167	97.3	0.092	25.63	11.41	0.449	90.7	0.8
PP48_000090-4	pw	15	night	0.234469521	0.138	12.313	1191	9.172413793	19.1466719	0.462014459	1.258390036	0.028864745	0.248118706	8.603738078	0.052870409	364	0.5	0.04	7.98	117	132	0.159	95.5	0.039	25.54	11.23	0.438	90.5	0.87
PP48_000091-4	pw	18	day	0.222558708	0.108	11.903	1177	9.642857143	19.06911069	0.475268728	1.259760185	0.02988983	0.245927549	8.560770866	0.053440828	391	0.6	0.16	8.1	116	130	0.162	100.3	0.156	26.43	11.87	0.446	93.7	0.84
PP48_000092-4	pw	21	day	0.232976691	0.146	12.133	1146	10.25	19.10472082	0.46360835	1.261916488	0.028758969	0.246240834	8.554153232	0.053087389	397	0.46	0.03	8.2	116	130	0.156	99.2	0.04	26.08	11.73	0.454	91.3	0.8
PP48_000093-4	pw	24	day	0.22964829	0.185	14.053	1143	24.21341463	19.19113657	0.478468989	1.258734462	0.028983718	0.246576358	8.608842871	0.053111177	353.6	0.63	0.00000001	19.855	116	131	0.143	101.6	0.031	25.22	12.12	0.786	90	0.82
PP48_000094-4	pw	27	day	0.223501925	0.182	15.797	1202	80.375	18.89522381	0.471386953	1.262356434	0.029831308	0.24453111	8.477381692	0.053745353	301	0.54	0.05	64.3	115	129	0.153	96.2	0.04	25.6	11.43	0.441	88.1	0.8
PP48_000095-4	pw	30	night	0.226112049	0.168	15.583	1206	21.01694915	18.98196422	0.500243273	1.259009021	0.030312392	0.247673604	8.558365955	0.053687769	388	0.56	0.18	12.4	117	131	0.16	100.2	0.051	26.78	11.87	0.43	92.6	0.59
PP48_000096-4	pw	33	night	0.225878162	0.186	15.243	1197	14.30555556	18.90850149	0.455859784	1.266666192	0.02945824	0.241879881	8.431711201	0.053575594	367	0.6	0.04	10.3	117	135	0.159	96.7	0.033	26.02	11.47	0.434	88.4	0.72
PP48_000097-4	pw	36	night	0.230427083	0.174	15.293	1199	13.62068966	18.90347826	0.45193801	1.266435195	0.028816795	0.241786448	8.436521367	0.053556845	284	0.61	0.1	7.9	116	133	0.163	97	0.043	26.01	11.49	0.441	88.5	0.58
PP48_000098-4	pw	39	night	0.237171606	0.138	15.233	1207	14.61538462	18.82805211	0.459692284	1.270114357	0.029744136	0.243258189	8.358385775	0.053844472	381	0.4	0.02	7.6	116	135	0.157	102.1	0.037	27.01	11.98	0.431	90.8	0.52
PP48_000099-4	pw	42	day	0.232582126	0.108	15.17	1138	9.625	19.1498289	0.450555427	1.261172045	0.028304151	0.244816902	8.555755143	0.052865773	305	0.49	0.03	7.7	117	135	0.16	103.9	0.046	27.73	12.19	0.442	93.5	0.8
PP48_000100-4	pw	45	day	0.230118531	0.146	15.77	1192	9.518072289	18.88329158	0.452027146	1.265073897	0.028971227	0.242286609	8.44025453	0.053386612	295	0.47	0.02	7.9	117	166	0.158	103.2	0.04	27.29	12.14	0.44	92.3	0.83
PP48_000101-4	pw	48	day	0.213801003	0.185	17.393	1203	8.98989899	18.93904219	0.49481388	1.254460875	0.03101988	0.24770734	8.581704099	0.054083669	301	0.44	0.01	8.9	119	135	0.157	102.8	0.038	26.73	12.01	0.437	91.2	0.99
