	SW48_000085	SW48_000086	SW48_000087	SW48_000088	SW48_000089	SW48_000090	SW48_000091	SW48_000092	SW48_000093	SW48_000094	SW48_000095	SW48_000096	SW48_000098	SW48_000099	SW48_000100	PP48_000085-4	PP48_000086-4	PP48_000087-4	PP48_000088-4	PP48_000089-4	PP48_000090-4	PP48_000091-4	PP48_000092-4	PP48_000093-4	PP48_000094-4	PP48_000095-4	PP48_000096-4	PP48_000097-4	PP48_000098-4	PP48_000099-4	PP48_000100-4	PP48_000101-4
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_15_length_66552_cov_2.660565__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.1554167	173.5396332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_25_length_55409_cov_3.546815__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.4311978	82.06095002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_27_length_53335_cov_3.170200__0_partial-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.59669455	92.58017247	224.8601179	284.5766908	67.5745575	386.4033179	244.463361	134.3484951	530.3383212	844.4621658	620.7898866	1078.907418	275.0761774	128.4921767	100.4728024	212.9954018	453.4012048
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_22_length_59248_cov_2.165897__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.54287075	88.5046622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_26_length_54575_cov_4.257787__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.3102632	190.0619722	0	0	0	0	48.87917898	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_32_length_47683_cov_2.029397__full_1-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.25469332	0	0	0	0	0	29.48267938	25.07613677	50.631642	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_49_length_40081_cov_8.612855__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231.6093409	136.8600408	0	0	0	110.6628229	73.30190194	30.13634374	58.17013092	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_106_length_28797_cov_2.601012__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.68264896	0	36.54502851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_226_length_19831_cov_2.172503__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.25305466	24.39798715	27.40877138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_559_length_14090_cov_1.674712__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.17906891	0	0	0	0	0	0	0	17.4397878	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_683_length_12859_cov_2.796890__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.91030539	49.89746357	106.2690961	136.2354444	31.4402364	194.0217409	123.9351991	70.58988726	290.6256251	469.9847298	323.9849146	570.1104827	145.1584423	65.61680693	56.81790498	121.8398297	262.642303
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_778_length_12144_cov_1.605143__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.03512277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_881_length_11596_cov_1.556282__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.98714072	13.65846685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1021_length_10865_cov_1.067797__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.71673854	18.78039192	0	0	3.816054471	23.25173524	11.87403106	6.915616195	16.70844186	0	0	0	0	0	7.839945137	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1062_length_10726_cov_2.435701__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.91329755	18.28472175	18.93369076	0	0	0	8.332061565	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1065_length_10706_cov_3.972304__full-cat_1	0	0	1.389859694	0	3.169293899	0	1.198679867	1.05246239	2.374504023	2.47439691	1.324478172	0	0	1.078981805	0	17.32151897	13.65846685	0	14.33423332	0	0	7.556201581	0	18.8462223	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1110_length_10518_cov_1.850159__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.020624838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_73979__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1082179	33.09975232	0	0	5.70719651	27.97926647	20.00369436	9.951740378	32.40425088	0	9.071305809	0	0	0	9.257499792	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_132910__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.41673502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_268525__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.949025788	17.4586048	18.57304903	18.79109578	0	0	17.94597875	7.702759501	21.0965175	22.28503524	15.93424129	30.48092237	0	6.675907242	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_466105__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.65963742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_306482__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.28340403	33.04467786	22.35978718	0	0	33.47863953	20.23982566	10.59832238	23.3468127	0	0	0	0	0	11.68759349	0	36.49980157
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_329234__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.820325622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_473782__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.08100327	43.78419816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_513142__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.13945789	17.34845588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_536324__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.996259794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_551446__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.10372966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_845080__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.37712401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_941895__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.47383614	0	0	0	0	0	16.02319532	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_983585__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.62764939	25.55455088	18.99379771	0	0	0	17.0351866	7.983882111	23.51558484	0	0	0	0	0	9.604656034	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1013482__full-cat_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.004630822	20.43262581	13.70438569	0	0	0	13.25708581	6.803167151	14.3456319	0	0	0	0	0	7.319210773	0	24.44482123
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1053142__full-cat_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8355716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
