	SW48_000085	SW48_000086	SW48_000087	SW48_000088	SW48_000089	SW48_000090	SW48_000091	SW48_000092	SW48_000093	SW48_000094	SW48_000095	SW48_000096	SW48_000098	SW48_000099	SW48_000100	PP48_000085-4	PP48_000086-4	PP48_000087-4	PP48_000088-4	PP48_000089-4	PP48_000090-4	PP48_000091-4	PP48_000092-4	PP48_000093-4	PP48_000094-4	PP48_000095-4	PP48_000096-4	PP48_000097-4	PP48_000098-4	PP48_000099-4	PP48_000100-4	PP48_000101-4
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.4	13200.93043	21954.26809	16993.4109	15256.94341	17931.16486	16565.44395	19686.67639	23366.82706	26586.18555	14587.66634	13756.88567	12686.5297	18381.54797	17007.40863	19294.41319	23135.59486	20299.45569	24145.5238	23004.16608	7132.724489	19815.57661	21394.75531	12507.69418	19541.40172	24412.30042	5495.93732	22028.86592	21954.26809	21673.49526	21954.26809	0	21954.26809
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7164.980544	17308.84002	33134.01258	37402.17938	23795.96392	27982.04316	39635.82246	32705.31219	30443.00211	34925.10198	12746.64744	38427.93732	63527.46887	37152.03161	53629.64214	2462.004156	52416.91396
erpe_2018_sw_33hr_WHONDRS-SW48-000096_F_bin.5	5098.648994	9053.399628	5807.818423	5928.209828	6216.244254	6694.847533	6061.023658	6429.158838	7351.333937	5532.839213	7051.055028	5061.69377	5322.528788	6036.753951	7353.053396	6159.154655	6947.452201	6442.39325	7918.443779	16202.16033	10978.53456	9401.753817	15553.10561	8884.442641	6003.66578	10433.77687	8978.011145	0	9330.501346	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_bin.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326.456871	0	0	35250.10173	19886.96715	11555.06306	57620.15749	0	0	0	0	0	0	0	0	1091.342428	0
erpe_2018_pw_27hr_WHONDRS-PP48-000094_A_bin.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6293.436538	0	7080.058884	7707.917171	0	8121.904673	12918.82912	5759.890983	19849.87106	14077.62818	11786.03723	10696.86503	387.5203327	11538.2066
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4157.617068	5303.255997	10575.21071	9430.924082	0	7000.927521	8791.40423	9211.996817	8644.6444	8507.013809	0	0	20516.98795	10909.19547	0	0	0
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1770.482845	1726.869979	4801.981405	4956.619733	3732.184657	3723.099222	7659.614912	6764.707691	5057.667928	7481.690343	3875.302672	7994.523013	12697.14979	8127.867233	10224.22201	384.3727417	8836.723294
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402.1824333	0	0	0	0	3684.475581	3238.44178	8924.682433	10165.58818	8549.475939	2970.457262	6637.215298	16503.25878	9121.071365	11467.39752	383.6602101	8131.945631
erpe_2018_pw_30hr_WHONDRS-PP48-000095_B_bin.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885.8608472	0	3600.065685	4781.195994	5741.265237	3583.206277	6406.732954	5795.090418	4222.43959	4521.463492	1866.276632	5321.227175	13604.99845	5600.217889	9830.560132	419.1138447	7558.111613
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690.0486101	0	4025.210348	5517.5761	3703.122997	4215.629153	6636.730337	4896.283872	3817.88836	4869.10506	1771.144396	6374.058583	11501.17915	6949.976843	10249.71986	471.6751552	7680.177724
erpe_2018_pw_21hr_WHONDRS-PP48-000092_B_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557.399225	0	3392.294199	4368.170989	3134.751822	3554.081539	5717.976446	4493.64759	3316.298153	4125.60686	1520.584126	5370.626589	9825.527531	5889.451951	8662.219764	390.8754571	6497.616043
erpe_2018_sw_39hr_WHONDRS-SW48-000098_B_bin.30	2814.373496	3481.986144	3123.904065	2560.894384	3105.285391	2631.437932	3169.379002	3356.031686	3809.691854	2639.438091	2419.956239	1985.656995	3586.648114	2405.16421	3179.135817	2973.350576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_42hr_WHONDRS-PP48-000099_B_bin.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1917.992826	0	1523.965143	2971.595744	785.0706921	6762.196838	7723.471047	7694.963536	16094.94579	397.523446	0
