	trimmed_erpe_2018_sw_0hr_WHONDRS.SW48.000085_95ID.sorted	trimmed_erpe_2018_sw_3hr_WHONDRS.SW48.000086_95ID.sorted	trimmed_erpe_2018_sw_6hr_WHONDRS.SW48.000087_95ID.sorted	trimmed_erpe_2018_sw_9hr_WHONDRS.SW48.000088_95ID.sorted	trimmed_erpe_2018_sw_12hr_WHONDRS.SW48.000089_95ID.sorted	trimmed_erpe_2018_sw_15hr_WHONDRS.SW48.000090_95ID.sorted	trimmed_erpe_2018_sw_18hr_WHONDRS.SW48.000091_95ID.sorted	trimmed_erpe_2018_sw_21hr_WHONDRS.SW48.000092_95ID.sorted	trimmed_erpe_2018_sw_24hr_WHONDRS.SW48.000093_95ID.sorted	trimmed_erpe_2018_sw_27hr_WHONDRS.SW48.000094_95ID.sorted	trimmed_erpe_2018_sw_30hr_WHONDRS.SW48.000095_95ID.sorted	trimmed_erpe_2018_sw_33hr_WHONDRS.SW48.000096_95ID.sorted	trimmed_erpe_2018_sw_39hr_WHONDRS.SW48.000098_95ID.sorted	trimmed_erpe_2018_sw_42hr_WHONDRS.SW48.000099_95ID.sorted	trimmed_erpe_2018_sw_45hr_WHONDRS.SW48.000100_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1065_length_10706_cov_3.972304__full-cat_1	0	0	1.389859694	0	3.169293899	0	1.198679867	1.05246239	2.374504023	2.47439691	1.324478172	0	0	1.078981805	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1925751__full-cat_2	30.28010562	26.19628609	34.27748619	27.68214737	32.09037456	28.13525597	35.89785619	42.81593993	36.50064036	58.36715161	34.71788408	25.16722161	31.98492815	23.90772961	31.63927836
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2041611__full-cat_2	9.140536822	10.09722078	10.52976006	9.190115162	11.10781463	9.743768062	9.453935994	8.89062073	9.589594761	9.468355525	8.371805777	7.699830712	8.970531423	6.01722633	5.41111472
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_249144__full-cat_1	4.470553464	4.507267553	3.037100812	0	7.072315004	5.540573996	3.42926675	2.765479253	6.031109393	6.194408592	2.952482591	0	5.422187882	2.211688844	1.475425732
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_11_length_34717_cov_2.431367__full-cat_1	70.85577953	92.84029693	69.6188156	70.06624297	86.09065872	82.08295014	68.87718748	60.4454751	75.97104608	60.66480589	54.87202692	49.7830487	47.36440591	41.82957262	42.84958504
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_521054__full-cat_1	0	0	2.596692596	2.716785869	0	0	2.069025683	1.668769195	1.877362685	0	1.937049326	0	2.342305427	2.856391665	4.50682153
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_62_length_25864_cov_2.035163__full-cat_1	0	0	0	0	0	0	7.958191986	3.745249046	0	0	0	0	10.69486691	5.197916495	2.884951556
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_56538__full-cat_2	15.84636702	14.82808647	18.26836157	14.09821803	16.95725096	13.58496455	17.51636101	21.37478422	17.43919484	28.58180921	14.97764066	13.83409482	16.73502473	14.26852702	18.00898059
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_93254__full-cat_1	4.744769568	5.837088005	3.774927563	2.929209456	4.259694051	5.037799586	3.976490167	3.369143867	4.421941377	4.687888024	3.929285243	3.416676799	3.418769198	3.469754766	3.73066705
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_k121_926198__full-cat_1	10.02135219	10.70917356	11.74231255	9.03359252	9.36521252	10.43759675	8.093694928	10.70161457	9.720421429	30.96362665	11.95893416	10.08264277	8.77118628	11.06739843	19.33796208
