	module	trimmed_erpe_2018_pw_0hr_WHONDRS.PP48.000085_95ID.sorted	trimmed_erpe_2018_pw_3hr_WHONDRS.PP48.000086_95ID.sorted	trimmed_erpe_2018_pw_6hr_WHONDRS.PP48.000087_95ID.sorted	trimmed_erpe_2018_pw_9hr_WHONDRS.PP48.000088_95ID.sorted	trimmed_erpe_2018_pw_12hr_WHONDRS.PP48.000089_95ID.sorted	trimmed_erpe_2018_pw_15hr_WHONDRS.PP48.000090_95ID.sorted	trimmed_erpe_2018_pw_18hr_WHONDRS.PP48.000091_95ID.sorted	trimmed_erpe_2018_pw_21hr_WHONDRS.PP48.000092_95ID.sorted	trimmed_erpe_2018_pw_24hr_WHONDRS.PP48.000093_95ID.sorted	trimmed_erpe_2018_pw_27hr_WHONDRS.PP48.000094_95ID.sorted	trimmed_erpe_2018_pw_30hr_WHONDRS.PP48.000095_95ID.sorted	trimmed_erpe_2018_pw_33hr_WHONDRS.PP48.000096_95ID.sorted	trimmed_erpe_2018_pw_36hr_WHONDRS.PP48.000097_95ID.sorted	trimmed_erpe_2018_pw_39hr_WHONDRS.PP48.000098_95ID.sorted	trimmed_erpe_2018_pw_42hr_WHONDRS.PP48.000099_95ID.sorted	trimmed_erpe_2018_pw_45hr_WHONDRS.PP48.000100_95ID.sorted	trimmed_erpe_2018_pw_48hr_WHONDRS.PP48.000101_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_27_length_53335_cov_3.170200__0_partial-cat_1	blue	51.59669455	92.58017247	224.8601179	284.5766908	67.5745575	386.4033179	244.463361	134.3484951	530.3383212	844.4621658	620.7898866	1078.907418	275.0761774	128.4921767	100.4728024	212.9954018	453.4012048
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_26_length_54575_cov_4.257787__full-cat_1	grey	154.3102632	190.0619722	0	0	0	0	48.87917898	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_32_length_47683_cov_2.029397__full_1-cat_1	turquoise	46.25469332	0	0	0	0	0	29.48267938	25.07613677	50.631642	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_49_length_40081_cov_8.612855__full-cat_1	grey	231.6093409	136.8600408	0	0	0	110.6628229	73.30190194	30.13634374	58.17013092	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_226_length_19831_cov_2.172503__full-cat_1	grey	29.25305466	24.39798715	27.40877138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_683_length_12859_cov_2.796890__full-cat_2	blue	25.91030539	49.89746357	106.2690961	136.2354444	31.4402364	194.0217409	123.9351991	70.58988726	290.6256251	469.9847298	323.9849146	570.1104827	145.1584423	65.61680693	56.81790498	121.8398297	262.642303
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1021_length_10865_cov_1.067797__full-cat_1	grey	8.71673854	18.78039192	0	0	3.816054471	23.25173524	11.87403106	6.915616195	16.70844186	0	0	0	0	0	7.839945137	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1062_length_10726_cov_2.435701__full-cat_1	grey	17.91329755	18.28472175	18.93369076	0	0	0	8.332061565	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_NODE_1065_length_10706_cov_3.972304__full-cat_1	grey	17.32151897	13.65846685	0	14.33423332	0	0	7.556201581	0	18.8462223	0	0	0	0	0	0	0	0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_73979__full-cat_2	grey	10.1082179	33.09975232	0	0	5.70719651	27.97926647	20.00369436	9.951740378	32.40425088	0	9.071305809	0	0	0	9.257499792	0	0
